stadium_id;stadium_name;city_name;country_name;stadium_capacity
S-001;Estadio Jos Amalfitani;Buenos Aires;Argentina;49000
S-002;Estadio Monumental;Buenos Aires;Argentina;75000
S-003;Estadio Chateau Carreras;Crdoba;Argentina;47000
S-004;Estadio Jos Mara Minella;Mar del Plata;Argentina;44000
S-005;Estadio Ciudad de Mendoza;Mendoza;Argentina;35000
S-006;Estadio Gigante de Arroyito;Rosario;Argentina;46000
S-007;Estdio Independncia;Belo Horizonte;Brazil;30000
S-008;Estdio Mineiro;Belo Horizonte;Brazil;43000
S-009;Estdio Nacional;Braslia;Brazil;70000
S-010;Arena Pantanal;Cuiab;Brazil;41000
S-011;Arena da Baixada;Curitiba;Brazil;40000
S-012;Estdio Vila Capanema;Curitiba;Brazil;10000
S-013;Estdio Castelo;Fortaleza;Brazil;63000
S-014;Arena da Amaznia;Manaus;Brazil;41000
S-015;Arena das Dunas;Natal;Brazil;40000
S-016;Estdio Beira-Rio;Porto Alegre;Brazil;43000
S-017;Estdio dos Eucaliptos;Porto Alegre;Brazil;20000
S-018;Arena Pernambuco;Recife;Brazil;43000
S-019;Estdio Ilha do Retiro;Recife;Brazil;30000
S-020;Estdio do Maracan;Rio de Janeiro;Brazil;200000
S-021;Arena Fonte Nova;Salvador;Brazil;52000
S-022;Arena Corinthians;So Paulo;Brazil;63000
S-023;Estdio do Pacaembu;So Paulo;Brazil;60000
S-024;Estadio Carlos Dittborn;Arica;Chile;18000
S-025;Estadio El Teniente;Rancagua;Chile;18000
S-026;Estadio Nacional;Santiago;Chile;67000
S-027;Estadio Sausalito;Via del Mar;Chile;18000
S-028;Villa Park;Birmingham;England;52000
S-029;Goodison Park;Liverpool;England;50000
S-030;Wembley Stadium;London;England;99000
S-031;White City Stadium;London;England;77000
S-032;Old Trafford;Manchester;England;58000
S-033;Ayresome Park;Middlesbrough;England;40000
S-034;Hillsborough Stadium;Sheffield;England;43000
S-035;Roker Park;Sunderland;England;40000
S-036;Stade du Fort Carr;Antibes;France;7000
S-037;Stade du Parc Lescure;Bordeaux;France;35000
S-038;Stade Jules Deschaseaux;Le Havre;France;22000
S-039;Stade Flix-Bollaert;Lens;France;41000
S-040;Stade Victor Boucquey;Lille;France;15000
S-041;Stade de Gerland;Lyon;France;44000
S-042;Stade Vlodrome;Marseille;France;60000
S-043;Stade de la Mosson;Montpellier;France;34000
S-044;Stade de la Beaujoire;Nantes;France;40000
S-045;Parc des Princes;Paris;France;49000
S-046;Stade Olympique de Colombes;Paris;France;60000
S-047;Vlodrome Municipal;Reims;France;22000
S-048;Stade de France;Saint-Denis;France;80000
S-049;Stade Geoffroy-Guichard;Saint-tienne;France;36000
S-050;Stade de la Meinau;Strasbourg;France;30000
S-051;Stade de Toulouse;Toulouse;France;37000
S-052;Stade du T.O.E.C.;Toulouse;France;15000
S-053;Olympiastadion;Berlin;Germany;86000
S-054;RheinEnergieStadion;Cologne;Germany;45000
S-055;Westfalenstadion;Dortmund;Germany;65000
S-056;Rheinstadion;Dsseldorf;Germany;70000
S-057;Waldstadion;Frankfurt;Germany;62000
S-058;Arena AufShalke;Gelsenkirchen;Germany;52000
S-059;Parkstadion;Gelsenkirchen;Germany;72000
S-060;Volksparkstadion;Hamburg;Germany;61000
S-061;Niedersachsenstadion;Hanover;Germany;60000
S-062;Fritz-Walter-Stadion;Kaiserslautern;Germany;46000
S-063;Zentralstadion;Leipzig;Germany;43000
S-064;Allianz Arena;Munich;Germany;66000
S-065;Olympiastadion;Munich;Germany;78000
S-066;Frankenstadion;Nuremberg;Germany;41000
S-067;Neckarstadion;Stuttgart;Germany;72000
S-068;Stadio San Nicola;Bari;Italy;51000
S-069;Stadio Renato Dall'Ara;Bologna;Italy;50000
S-070;Stadio Sant'Elia;Cagliari;Italy;35000
S-071;Stadio Comunale;Florence;Italy;39000
S-072;Stadio Giovanni Berta;Florence;Italy;47000
S-073;Stadio Luigi Ferraris;Genoa;Italy;37000
S-074;San Siro;Milan;Italy;75000
S-075;Stadio Giorgio Ascarelli;Naples;Italy;40000
S-076;Stadio San Paolo;Naples;Italy;60000
S-077;Stadio La Favorita;Palermo;Italy;33000
S-078;Stadio Nazionale PNF;Rome;Italy;47000
S-079;Stadio Olimpico;Rome;Italy;74000
S-080;Stadio Littorio;Trieste;Italy;8000
S-081;Stadio Benito Mussolini;Turin;Italy;28000
S-082;Stadio delle Alpi;Turin;Italy;63000
S-083;Stadio Friuli;Udine;Italy;36000
S-084;Stadio Marc'Antonio Bentegodi;Verona;Italy;36000
S-085;Kashima Stadium;Ibaraki;Japan;42000
S-086;Kobe Wing Stadium;Kobe;Japan;42000
S-087;Miyagi Stadium;Miyagi;Japan;49000
S-088;Niigata Stadium;Niigata;Japan;42000
S-089;ita Stadium;ita;Japan;43000
S-090;Nagai Stadium;Osaka;Japan;50000
S-091;Saitama Stadium;Saitama;Japan;63000
S-092;Sapporo Dome;Sapporo;Japan;42000
S-093;Shizuoka Stadium ECOPA;Shizuoka;Japan;51000
S-094;International Stadium Yokohama;Yokohama;Japan;72000
S-095;Estadio Jalisco;Guadalajara;Mexico;71000
S-096;Estadio Tres de Marzo;Guadalajara;Mexico;30000
S-097;Estadio Sergio Len Chavez;Irapuato;Mexico;31000
S-098;Estadio Nou Camp;Len;Mexico;31000
S-099;Estadio Azteca;Mexico City;Mexico;115000
S-100;Estadio Olmpico Universitario;Mexico City;Mexico;72000
S-101;Estadio Tecnolgico;Monterrey;Mexico;34000
S-102;Estadio Universitario;Monterrey;Mexico;44000
S-103;Estadio Neza 86;Nezahualcyotl;Mexico;35000
S-104;Estadio Cuauhtmoc;Puebla;Mexico;46000
S-105;Estadio La Corregidora;Quertaro;Mexico;39000
S-106;La Bombonera;Toluca;Mexico;33000
S-107;Kaliningrad Stadium;Kaliningrad;Russia;34000
S-108;Kazan Arena;Kazan;Russia;43000
S-109;Luzhniki Stadium;Moscow;Russia;78000
S-110;Otkritie Arena;Moscow;Russia;44000
S-111;Nizhny Novgorod Stadium;Nizhny Novgorod;Russia;43000
S-112;Rostov Arena;Rostov-on-Don;Russia;43000
S-113;Krestovsky Stadium;Saint Petersburg;Russia;64000
S-114;Samara Arena;Samara;Russia;42000
S-115;Mordovia Arena;Saransk;Russia;42000
S-116;Fisht Olympic Stadium;Sochi;Russia;44000
S-117;Volgograd Arena;Volgograd;Russia;44000
S-118;Central Stadium;Yekaterinburg;Russia;33000
S-119;Free State Stadium;Bloemfontein;South Africa;41000
S-120;Cape Town Stadium;Cape Town;South Africa;64000
S-121;Moses Mabhida Stadium;Durban;South Africa;63000
S-122;Ellis Park Stadium;Johannesburg;South Africa;56000
S-123;Soccer City;Johannesburg;South Africa;84000
S-124;Mbombela Stadium;Nelspruit;South Africa;41000
S-125;Peter Mokaba Stadium;Polokwane;South Africa;42000
S-126;Nelson Mandela Bay Stadium;Port Elizabeth;South Africa;42000
S-127;Loftus Versfeld Stadium;Pretoria;South Africa;43000
S-128;Royal Bafokeng Stadium;Rustenburg;South Africa;42000
S-129;Busan Asiad Stadium;Busan;South Korea;56000
S-130;Daegu World Cup Stadium;Daegu;South Korea;68000
S-131;Daejeon World Cup Stadium;Daejeon;South Korea;40000
S-132;Gwangju World Cup Stadium;Gwangju;South Korea;43000
S-133;Incheon Munhak Stadium;Incheon;South Korea;52000
S-134;Jeonju World Cup Stadium;Jeonju;South Korea;42000
S-135;Jeju World Cup Stadium;Seogwipo;South Korea;42000
S-136;Seoul World Cup Stadium;Seoul;South Korea;64000
S-137;Suwon World Cup Stadium;Suwon;South Korea;43000
S-138;Ulsan Munsu Football Stadium;Ulsan;South Korea;44000
S-139;Estadio Riazor;A Corua;Spain;34000
S-140;Estadio Jos Rico Prez;Alicante;Spain;33000
S-141;Camp Nou;Barcelona;Spain;121000
S-142;Estadi de Sarri;Barcelona;Spain;40000
S-143;Estadio San Mams;Bilbao;Spain;46000
S-144;Nuevo Estadio;Elche;Spain;53000
S-145;Estadio El Molinn;Gijn;Spain;45000
S-146;Estadio Santiago Bernabu;Madrid;Spain;90000
S-147;Vicente Caldern;Madrid;Spain;66000
S-148;Estadio La Rosaleda;Mlaga;Spain;45000
S-149;Estadio Carlos Tartiere;Oviedo;Spain;24000
S-150;Estadio Benito Villamarn;Seville;Spain;50000
S-151;Estadio Ramn Snchez Pizjun;Seville;Spain;68000
S-152;Estadio Luis Casanova;Valencia;Spain;50000
S-153;Estadio Jos Zorrilla;Valladolid;Spain;30000
S-154;Balados;Vigo;Spain;33000
S-155;Estadio La Romareda;Zaragoza;Spain;42000
S-156;Ryavallen;Bors;Sweden;15000
S-157;Tunavallen;Eskilstuna;Sweden;22000
S-158;Ullevi;Gothenburg;Sweden;54000
S-159;rjans Vall;Halmstad;Sweden;15000
S-160;Olympia;Helsingborg;Sweden;27000
S-161;Malm Stadion;Malm;Sweden;30000
S-162;Idrottsparken;Norrkping;Sweden;20000
S-163;Eyravallen;rebro;Sweden;13000
S-164;Jernvallen;Sandviken;Sweden;20000
S-165;Rsunda Stadium;Solna;Sweden;52000
S-166;Rimnersvallen;Uddevalla;Sweden;18000
S-167;Arosvallen;Vsters;Sweden;10000
S-168;St. Jakob Stadium;Basel;Switzerland;55000
S-169;Wankdorf Stadium;Bern;Switzerland;65000
S-170;Charmilles Stadium;Geneva;Switzerland;36000
S-171;Stade Olympique de la Pontaise;Lausanne;Switzerland;50000
S-172;Cornaredo Stadium;Lugano;Switzerland;36000
S-173;Hardturm Stadium;Zrich;Switzerland;35000
S-174;Soldier Field;Chicago;United States;63000
S-175;Cotton Bowl;Dallas;United States;64000
S-176;Giants Stadium;East Rutherford;United States;76000
S-177;Foxboro Stadium;Foxborough;United States;54000
S-178;Citrus Bowl;Orlando;United States;62000
S-179;Rose Bowl;Pasadena;United States;94000
S-180;Pontiac Silverdome;Pontiac;United States;78000
S-181;Stanford Stadium;Stanford;United States;84000
S-182;RFK Stadium;Washington, D.C.;United States;53000
S-183;Estadio Centenario;Montevideo;Uruguay;90000
S-184;Estadio Gran Parque Central;Montevideo;Uruguay;20000
S-185;Estadio Pocitos;Montevideo;Uruguay;10000