team_id;team_name;team_code;confederation_name
T-01;Algeria;DZA;Confederation of African Football
T-02;Angola;AGO;Confederation of African Football
T-03;Argentina;ARG;South American Football Confederation
T-04;Australia;AUS;Asian Football Confederation
T-05;Austria;AUT;Union of European Football Associations
T-06;Belgium;BEL;Union of European Football Associations
T-07;Bolivia;BOL;South American Football Confederation
T-08;Bosnia and Herzegovina;BIH;Union of European Football Associations
T-09;Brazil;BRA;South American Football Confederation
T-10;Bulgaria;BGR;Union of European Football Associations
T-11;Cameroon;CMR;Confederation of African Football
T-12;Canada;CAN;Confederation of North
T-13;Chile;CHL;South American Football Confederation
T-14;China;CHN;Asian Football Confederation
T-15;Colombia;COL;South American Football Confederation
T-16;Costa Rica;CRI;Confederation of North
T-17;Croatia;HRV;Union of European Football Associations
T-18;Cuba;CUB;Confederation of North
T-19;Czech Republic;CZE;Union of European Football Associations
T-20;Czechoslovakia;CSK;Union of European Football Associations
T-21;Denmark;DNK;Union of European Football Associations
T-22;Dutch East Indies;IDN;Asian Football Confederation
T-23;East Germany;DDR;Union of European Football Associations
T-24;Ecuador;ECU;South American Football Confederation
T-25;Egypt;EGY;Confederation of African Football
T-26;El Salvador;SLV;Confederation of North
T-27;England;ENG;Union of European Football Associations
T-28;France;FRA;Union of European Football Associations
T-29;Germany;DEU;Union of European Football Associations
T-30;Ghana;GHA;Confederation of African Football
T-31;Greece;GRC;Union of European Football Associations
T-32;Haiti;HTI;Confederation of North
T-33;Honduras;HND;Confederation of North
T-34;Hungary;HUN;Union of European Football Associations
T-35;Iceland;ISL;Union of European Football Associations
T-36;Iran;IRN;Asian Football Confederation
T-37;Iraq;IRQ;Asian Football Confederation
T-38;Israel;ISR;Union of European Football Associations
T-39;Italy;ITA;Union of European Football Associations
T-40;Ivory Coast;CIV;Confederation of African Football
T-41;Jamaica;JAM;Confederation of North
T-42;Japan;JPN;Asian Football Confederation
T-43;Kuwait;KWT;Asian Football Confederation
T-44;Mexico;MEX;Confederation of North
T-45;Morocco;MAR;Confederation of African Football
T-46;Netherlands;NLD;Union of European Football Associations
T-47;New Zealand;NZL;Oceania Football Confederation
T-48;Nigeria;NGA;Confederation of African Football
T-49;North Korea;PRK;Asian Football Confederation
T-50;Northern Ireland;NIR;Union of European Football Associations
T-51;Norway;NOR;Union of European Football Associations
T-52;Panama;PAN;Confederation of North
T-53;Paraguay;PRY;South American Football Confederation
T-54;Peru;PER;South American Football Confederation
T-55;Poland;POL;Union of European Football Associations
T-56;Portugal;PRT;Union of European Football Associations
T-57;Republic of Ireland;IRL;Union of European Football Associations
T-58;Romania;ROU;Union of European Football Associations
T-59;Russia;RUS;Union of European Football Associations
T-60;Saudi Arabia;SAU;Asian Football Confederation
T-61;Scotland;SCO;Union of European Football Associations
T-62;Senegal;SEN;Confederation of African Football
T-63;Serbia;SRB;Union of European Football Associations
T-64;Serbia and Montenegro;SCG;Union of European Football Associations
T-65;Slovakia;SVK;Union of European Football Associations
T-66;Slovenia;SVN;Union of European Football Associations
T-67;South Africa;ZAF;Confederation of African Football
T-68;South Korea;KOR;Asian Football Confederation
T-69;Soviet Union;SUN;Union of European Football Associations
T-70;Spain;ESP;Union of European Football Associations
T-71;Sweden;SWE;Union of European Football Associations
T-72;Switzerland;CHE;Union of European Football Associations
T-73;Togo;TGO;Confederation of African Football
T-74;Trinidad and Tobago;TTO;Confederation of North
T-75;Tunisia;TUN;Confederation of African Football
T-76;Turkey;TUR;Union of European Football Associations
T-77;Ukraine;UKR;Union of European Football Associations
T-78;United Arab Emirates;ARE;Asian Football Confederation
T-79;United States;USA;Confederation of North
T-80;Uruguay;URY;South American Football Confederation
T-81;Wales;WAL;Union of European Football Associations
T-82;West Germany;DEU;Union of European Football Associations
T-83;Yugoslavia;YUG;Union of European Football Associations
T-84;Zaire;COD;Confederation of African Football